station_id,name,address,city,state,country,latitude,longitude,distance_from_search_center,total_connections,max_power_kw,charger_category,connection_types,operator,is_operational,status,last_updated,data_provider,available_slots,simulated_price_per_kwh,simulated_avg_wait_minutes,reliability_score,source_city
309267,JW Marriott,"Vittal Mallya Road, D'Souza Layout",Bengaluru,Karnataka,India,12.97228768658023,77.59492658243641,0.08,1,60.0,superfast,CCS (Type 2),Chargezone (India),1,Operational,2025-03-07T16:59:00Z,Open Charge Map Contributors,0,11.83,6,0.78,Bangalore
309268,Sundaram Motors,"107, Kasturba Road, opp. Venkatappa Art Gallery, ",Bengaluru,Karnataka,India,12.973845154518216,77.59597891080779,0.29,1,90.0,superfast,CCS (Type 2),Chargezone (India),1,Operational,2025-03-07T16:59:00Z,Open Charge Map Contributors,1,13.15,10,0.71,Bangalore
309097,ibis Bengaluru City Centre,"Plot No - 30, Raja Ram Mohan Roy Road, off Richmond Road",Bengaluru,Karnataka,India,12.96751,77.5939,0.46,1,60.0,superfast,CCS (Type 2),JIO BP Pulse (India),1,Operational,2025-03-04T03:24:00Z,Open Charge Map Contributors,0,12.59,8,0.75,Bangalore
309099,ITC Gardenia Bengaluru,"1, Residency Road",Bengaluru,Karnataka ,India,12.96728,77.59552,0.49,1,30.0,fast,CCS (Type 2),Statiq (IN),1,Operational,2025-03-04T03:24:00Z,Open Charge Map Contributors,0,9.46,33,0.83,Bangalore
309270,BMW Navnit Motors,"48/3, Lavelle Road",Bengaluru,Karnataka,India,12.97259859569182,77.59908118684689,0.5,1,24.0,fast,CCS (Type 2),(Unknown Operator),1,Operational,2025-03-07T16:59:00Z,Open Charge Map Contributors,0,11.06,22,0.7,Bangalore
103614,Ather Grid Point - 6000 Miles to Isle of Man,Kasturba Road,Bengaluru,Bangalore Urban,India,12.9756828,77.5982326000001,0.6,1,3.0,slow,Type M,(Unknown Operator),1,Operational,2022-08-30T10:54:00Z,Open Charge Map Contributors,1,6.56,30,0.73,Bangalore
309269,Hotel Southern Star,Lavelle Road,Bengaluru,Karnataka,India,12.974727464060706,77.59942186908683,0.63,1,30.0,fast,CCS (Type 2),Tata Power,1,Operational,2025-03-07T16:59:00Z,Open Charge Map Contributors,0,9.46,38,0.86,Bangalore
309266,Audi Central,"1, St Marks Road, Shanthala Nagar",Bengaluru,Karnataka,India,12.97001545590929,77.6004747835533,0.66,1,60.0,superfast,CCS (Type 2),Statiq (IN),1,Operational,2025-03-07T16:59:00Z,Open Charge Map Contributors,0,12.2,14,0.7,Bangalore
103746,BESCOM Head Office,K R Subway,Bengaluru,Bangalore Urban,India,12.9755314120859,77.5883364581665,0.81,2,3.6,slow,"CHAdeMO, Blue Commando (2P+E)",(Business Owner at Location),1,Operational,2020-04-14T16:02:00Z,Open Charge Map Contributors,2,7.82,40,0.67,Bangalore
309098,Divyasree Chambers,"O Shaughnessy Road, Langford Gardens",Bengaluru,Karnataka,India,12.96192,77.59922,1.19,1,60.0,superfast,CCS (Type 2),Statiq (IN),1,Operational,2025-03-04T03:24:00Z,Open Charge Map Contributors,1,14.71,18,0.71,Bangalore
309271,Forum Rex Walk,Brigade Road,Bengaluru,Karnataka,India,12.972458,77.606851,1.33,4,30.0,fast,CCS (Type 2),Statiq (IN),1,Operational,2025-03-07T16:59:00Z,Open Charge Map Contributors,2,9.0,35,0.68,Bangalore
309272,Vivanta by Taj Residency Road,"66, Residency Road",Bengaluru,Karnataka,India,12.97248838809081,77.60854161055966,1.51,2,30.0,fast,"CCS (Type 2), Type 2 (Tethered Connector) ",Tata Power,1,Operational,2025-03-07T16:59:00Z,Open Charge Map Contributors,2,10.57,19,0.89,Bangalore
309319,Freedom Park,"Sevakshetra, No. 14  6th Cross",Bengaluru,Karnataka ,India,12.97859,77.58139,1.63,1,25.0,fast,CCS (Type 2),Bolt.Earth (IN),1,Operational,2025-03-07T16:59:00Z,Open Charge Map Contributors,0,10.96,12,0.81,Bangalore
309273,Welcomhotel Richmond Road,"46, Richmond Road",Bengaluru,Karnataka,India,12.968709974182843,77.61440938105488,2.17,1,60.0,superfast,CCS (Type 2),Statiq (IN),1,Operational,2025-03-07T16:59:00Z,Open Charge Map Contributors,0,10.28,18,0.78,Bangalore
